Triggering Mode, Top-1(I), Top-1(R), Top-5(I), Top-5(R), MAP(I), MAP(R), MRR(I), MRR(R)
FIRST_FAILED_TEST, 3, 10, 8, 28, 9, 13, 9, 20
COMPLETE, 27, 12, 62, 30, 40, 17, 40, 22
