, Top 1(#), Top 5(#), Top 10(#), MAP(#), MRR(#), Instances(#), Top 1(%), Top 5(%), Top 10(%), MAP(%), MRR(%)
Chart, 475, 1420, 2194, 505.66, 644.00, 4350, 10.92, 14.94, 24.25, 11.62, 14.80
Time, 389, 2389, 2951, 446.23, 709.93, 6750, 5.76, 17.57, 18.77, 6.61, 10.52
Math, 1082, 3421, 5445, 1453.20, 1936.16, 19625, 5.51, 13.31, 19.80, 7.40, 9.87
Mockito, 353, 1475, 2542, 490.28, 754.88, 8525, 4.14, 13.37, 19.33, 5.75, 8.85
Lang, 332, 3158, 5172, 939.68, 1261.26, 11750, 2.83, 18.83, 27.77, 8.00, 10.73
