Top 1(#), Top 5(#), Top 10(#), MAP(#), MRR(#), Instances(#), Top 1(%), Top 5(%), Top 10(%), MAP(%), MRR(%)
Chart::14, 0, 0, 91, 11.55, 19.87, 375, 0.00, 0.00, 24.27, 3.08, 5.30
Lang::62, 0, 0, 110, 9.17, 18.86, 300, 0.00, 0.00, 36.67, 3.06, 6.29
Lang::17, 0, 96, 108, 9.00, 23.78, 300, 0.00, 28.00, 28.00, 3.00, 7.93
Lang::65, 0, 0, 0, 8.15, 8.15, 275, 0.00, 0.00, 0.00, 2.96, 2.96
Lang::22, 0, 0, 0, 9.47, 9.47, 325, 0.00, 0.00, 0.00, 2.92, 2.92
Math::60, 0, 0, 0, 8.63, 2.58, 300, 0.00, 0.00, 0.00, 2.88, 0.86
Time::22, 0, 0, 0, 9.18, 6.32, 325, 0.00, 0.00, 0.00, 2.83, 1.95
Math::97, 0, 0, 36, 8.48, 8.48, 300, 0.00, 0.00, 12.00, 2.83, 2.83
Math::31, 0, 0, 0, 8.84, 2.44, 325, 0.00, 0.00, 0.00, 2.72, 0.75
Lang::10, 0, 0, 0, 7.81, 2.48, 325, 0.00, 0.00, 0.00, 2.40, 0.76
Math::61, 0, 0, 48, 6.55, 6.55, 275, 0.00, 0.00, 17.45, 2.38, 2.38
Math::67, 0, 0, 0, 1.75, 3.19, 75, 0.00, 0.00, 0.00, 2.33, 4.26
Mockito::23, 0, 0, 90, 6.70, 14.41, 300, 0.00, 0.00, 30.00, 2.23, 4.80
Math::28, 0, 0, 0, 3.31, 3.46, 150, 0.00, 0.00, 0.00, 2.21, 2.31
Mockito::10, 0, 0, 0, 6.19, 6.19, 300, 0.00, 0.00, 0.00, 2.06, 2.06
Math::26, 0, 0, 0, 5.84, 5.06, 300, 0.00, 0.00, 0.00, 1.95, 1.69
Math::44, 0, 0, 0, 5.47, 14.72, 300, 0.00, 0.00, 0.00, 1.82, 4.91
Mockito::19, 0, 0, 0, 5.29, 7.92, 300, 0.00, 0.00, 0.00, 1.76, 2.64
Math::103, 0, 0, 0, 5.28, 5.28, 300, 0.00, 0.00, 0.00, 1.76, 1.76
Lang::3, 0, 0, 0, 5.19, 10.07, 300, 0.00, 0.00, 0.00, 1.73, 3.36
Math::100, 0, 0, 96, 5.12, 12.25, 300, 0.00, 0.00, 32.00, 1.71, 4.08
Math::64, 0, 0, 0, 5.45, 3.16, 325, 0.00, 0.00, 0.00, 1.68, 0.97
Time::8, 0, 0, 0, 4.76, 4.64, 300, 0.00, 0.00, 0.00, 1.59, 1.55
Mockito::16, 0, 0, 108, 4.61, 12.32, 300, 0.00, 0.00, 36.00, 1.54, 4.11
Math::83, 0, 0, 0, 2.28, 1.94, 150, 0.00, 0.00, 0.00, 1.52, 1.29
Math::49, 0, 0, 93, 3.85, 14.18, 300, 0.00, 0.00, 31.00, 1.28, 4.73
Mockito::20, 0, 0, 0, 4.95, 3.66, 400, 0.00, 0.00, 0.00, 1.24, 0.92
Lang::53, 0, 0, 1, 3.66, 2.51, 300, 0.00, 0.00, 0.33, 1.22, 0.84
Math::54, 0, 0, 0, 3.53, 6.58, 300, 0.00, 0.00, 0.00, 1.18, 2.19
Lang::34, 0, 0, 2, 4.64, 3.17, 400, 0.00, 0.00, 0.25, 1.16, 0.79
Math::37, 0, 8, 19, 4.35, 5.89, 375, 0.00, 2.13, 5.07, 1.16, 1.57
Chart::2, 0, 0, 0, 3.75, 2.07, 325, 0.00, 0.00, 0.00, 1.15, 0.64
Math::68, 0, 1, 1, 3.56, 5.00, 325, 0.00, 0.31, 0.31, 1.10, 1.54
Chart::7, 0, 0, 0, 2.67, 1.79, 250, 0.00, 0.00, 0.00, 1.07, 0.72
Lang::18, 0, 0, 0, 0.68, 0.46, 75, 0.00, 0.00, 0.00, 0.91, 0.62
Math::17, 0, 0, 0, 2.65, 2.65, 300, 0.00, 0.00, 0.00, 0.88, 0.88
Lang::27, 0, 0, 0, 2.57, 1.75, 300, 0.00, 0.00, 0.00, 0.86, 0.58
Math::43, 0, 0, 0, 3.36, 1.70, 400, 0.00, 0.00, 0.00, 0.84, 0.42
Math::84, 0, 0, 0, 1.18, 1.18, 150, 0.00, 0.00, 0.00, 0.79, 0.79
Math::7, 0, 0, 0, 2.32, 2.67, 300, 0.00, 0.00, 0.00, 0.77, 0.89
Chart::15, 0, 0, 0, 2.26, 6.51, 300, 0.00, 0.00, 0.00, 0.75, 2.17
Math::81, 0, 0, 32, 2.03, 6.75, 300, 0.00, 0.00, 10.67, 0.68, 2.25
Math::40, 0, 0, 0, 1.61, 2.91, 250, 0.00, 0.00, 0.00, 0.64, 1.17
Mockito::14, 0, 0, 0, 1.90, 1.32, 300, 0.00, 0.00, 0.00, 0.63, 0.44
Math::52, 0, 0, 0, 1.88, 4.93, 300, 0.00, 0.00, 0.00, 0.63, 1.64
Math::6, 0, 0, 0, 2.42, 4.24, 400, 0.00, 0.00, 0.00, 0.61, 1.06
Math::24, 0, 0, 0, 0.95, 1.27, 175, 0.00, 0.00, 0.00, 0.55, 0.73
Math::42, 0, 0, 0, 1.62, 1.62, 300, 0.00, 0.00, 0.00, 0.54, 0.54
Lang::15, 0, 0, 0, 1.45, 1.74, 300, 0.00, 0.00, 0.00, 0.48, 0.58
Math::87, 0, 0, 0, 1.39, 0.93, 300, 0.00, 0.00, 0.00, 0.46, 0.31
Math::62, 0, 0, 0, 0.35, 0.14, 75, 0.00, 0.00, 0.00, 0.46, 0.19
Mockito::13, 0, 0, 0, 1.36, 1.36, 300, 0.00, 0.00, 0.00, 0.45, 0.45
Math::76, 0, 0, 0, 0.45, 0.65, 100, 0.00, 0.00, 0.00, 0.45, 0.65
Math::86, 0, 0, 0, 1.19, 1.99, 275, 0.00, 0.00, 0.00, 0.43, 0.72
Mockito::33, 0, 0, 0, 1.26, 1.26, 325, 0.00, 0.00, 0.00, 0.39, 0.39
Chart::26, 0, 0, 0, 1.31, 1.31, 400, 0.00, 0.00, 0.00, 0.33, 0.33
Time::11, 0, 0, 0, 0.28, 0.14, 100, 0.00, 0.00, 0.00, 0.28, 0.14
Math::13, 0, 0, 0, 0.77, 0.77, 300, 0.00, 0.00, 0.00, 0.26, 0.26
Math::14, 0, 0, 0, 0.73, 1.47, 300, 0.00, 0.00, 0.00, 0.24, 0.49
Math::23, 0, 0, 0, 0.55, 0.77, 300, 0.00, 0.00, 0.00, 0.18, 0.26
Chart::4, 0, 0, 0, 0.72, 0.72, 400, 0.00, 0.00, 0.00, 0.18, 0.18
Mockito::4, 0, 0, 0, 0.64, 0.64, 375, 0.00, 0.00, 0.00, 0.17, 0.17
Time::10, 0, 0, 0, 0.52, 0.52, 325, 0.00, 0.00, 0.00, 0.16, 0.16
Time::27, 0, 0, 0, 0.39, 0.39, 300, 0.00, 0.00, 0.00, 0.13, 0.13
Mockito::9, 0, 0, 0, 0.37, 0.37, 350, 0.00, 0.00, 0.00, 0.11, 0.11
Math::74, 0, 0, 0, 0.29, 0.22, 300, 0.00, 0.00, 0.00, 0.10, 0.07
